Order ID,Order month,Order Date,Order year,Ship Date,Ship Mode,Customer ID,Product ID,Postal Code,Sales ID,Region,Customer Name,Segment,State,City,Category,Sub-Category,Gross Sales,Gross Profit,Return Sales Value,Actual Sales,Net Profit,Total Cost
CA-2016-152156,November,11/8/2016,2016,11/11/2016,Second Class,CG-12520,FUR-BO-10001798,42420,1-56CA,South,Claire Gute,Consumer,Kentucky,Henderson,Furniture,Bookcases,26196,4191.36,0,26196,4191.36,22004.64
CA-2016-152156,November,11/8/2016,2016,11/11/2016,Second Class,CG-12520,FUR-CH-10000454,42420,2-56CA,South,Claire Gute,Consumer,Kentucky,Henderson,Furniture,Chairs,73194,21958.2,0,73194,21958.2,51235.8
CA-2016-138688,June,6/12/2016,2016,6/16/2016,Second Class,DV-13045,OFF-LA-10000240,90036,3-88CA,West,Darrin Van Huff,Corporate,California,Los Angeles,Office Supplies,Labels,1462,687.14,0,1462,687.14,774.86
US-2015-108966,October,10/11/2015,2015,10/18/2015,Standard Class,SO-20335,FUR-TA-10000577,33311,4-66US,South,Sean O'Donnell,Consumer,Florida,Fort Lauderdale,Furniture,Tables,95757.75,-38303.1,0,95757.75,-38303.1,134060.85
US-2015-108966,October,10/11/2015,2015,10/18/2015,Standard Class,SO-20335,OFF-ST-10000760,33311,5-66US,South,Sean O'Donnell,Consumer,Florida,Fort Lauderdale,Office Supplies,Storage,2236.8,251.64,0,2236.8,251.64,1985.16
CA-2014-115812,June,6/9/2014,2014,6/14/2014,Standard Class,BH-11710,FUR-FU-10001487,90032,6-12CA,West,Brosina Hoffman,Consumer,California,Los Angeles,Furniture,Furnishings,4886,1416.94,0,4886,1416.94,3469.06
CA-2014-115812,June,6/9/2014,2014,6/14/2014,Standard Class,BH-11710,OFF-AR-10002833,90032,7-12CA,West,Brosina Hoffman,Consumer,California,Los Angeles,Office Supplies,Art,728,196.56,0,728,196.56,531.44
CA-2014-115812,June,6/9/2014,2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002275,90032,8-12CA,West,Brosina Hoffman,Consumer,California,Los Angeles,Technology,Phones,90715.2,9071.52,0,90715.2,9071.52,81643.68
CA-2014-115812,June,6/9/2014,2014,6/14/2014,Standard Class,BH-11710,OFF-BI-10003910,90032,9-12CA,West,Brosina Hoffman,Consumer,California,Los Angeles,Office Supplies,Binders,1850.4,578.25,0,1850.4,578.25,1272.15
CA-2014-115812,June,6/9/2014,2014,6/14/2014,Standard Class,BH-11710,OFF-AP-10002892,90032,10-12CA,West,Brosina Hoffman,Consumer,California,Los Angeles,Office Supplies,Appliances,11490,3447,0,11490,3447,8043
CA-2014-115812,June,6/9/2014,2014,6/14/2014,Standard Class,BH-11710,FUR-TA-10001539,90032,11-12CA,West,Brosina Hoffman,Consumer,California,Los Angeles,Furniture,Tables,170618.4,8530.92,0,170618.4,8530.92,162087.48
CA-2014-115812,June,6/9/2014,2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002033,90032,12-12CA,West,Brosina Hoffman,Consumer,California,Los Angeles,Technology,Phones,91142.4,6835.68,0,91142.4,6835.68,84306.72
CA-2017-114412,April,4/15/2017,2017,4/20/2017,Standard Class,AA-10480,OFF-PA-10002365,28027,13-12CA,South,Andrew Allen,Consumer,North Carolina,Concord,Office Supplies,Paper,1555.2,544.32,0,1555.2,544.32,1010.88
CA-2016-161389,December,12/5/2016,2016,12/10/2016,Standard Class,IM-15070,OFF-BI-10003656,98103,14-89CA,West,Irene Maddox,Consumer,Washington,Seattle,Office Supplies,Binders,40797.6,13259.22,0,40797.6,13259.22,27538.38
US-2015-118983,November,11/22/2015,2015,11/26/2015,Standard Class,HP-14815,OFF-AP-10002311,76106,15-83US,Central,Harold Pawlan,Home Office,Texas,Fort Worth,Office Supplies,Appliances,6881,-12385.8,0,6881,-12385.8,19266.8
US-2015-118983,November,11/22/2015,2015,11/26/2015,Standard Class,HP-14815,OFF-BI-10000756,76106,16-83US,Central,Harold Pawlan,Home Office,Texas,Fort Worth,Office Supplies,Binders,254.4,-381.6,0,254.4,-381.6,636
CA-2014-105893,November,11/11/2014,2014,11/18/2014,Standard Class,PK-19075,OFF-ST-10004186,53711,17-93CA,Central,Pete Kriz,Consumer,Wisconsin,Madison,Office Supplies,Storage,66588,1331.76,0,66588,1331.76,65256.24
CA-2014-167164,May,5/13/2014,2014,5/15/2014,Second Class,AG-10270,OFF-ST-10000107,84084,18-64CA,West,Alejandro Grove,Consumer,Utah,West Jordan,Office Supplies,Storage,5550,999,0,5550,999,4551
CA-2014-143336,August,8/27/2014,2014,9/1/2014,Second Class,ZD-21925,OFF-AR-10003056,94109,19-36CA,West,Zuschuss Donatelli,Consumer,California,San Francisco,Office Supplies,Art,856,248.24,856,0,0,0
CA-2014-143336,August,8/27/2014,2014,9/1/2014,Second Class,ZD-21925,TEC-PH-10001949,94109,20-36CA,West,Zuschuss Donatelli,Consumer,California,San Francisco,Technology,Phones,21348,1601.1,21348,0,0,0
